extax_AB,extax_BA,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.0,0.0,9.88231995180268,9.882354258374804,8.66161032954607,8.662044620878248,1
0.0,0.05,9.869681225760605,9.888707537094424,8.577400997572663,8.651108663390133,0
0.0,0.1,9.863443150254362,9.89580569041757,8.560085957337739,8.688222330451017,0
0.0,0.15000000000000002,9.854901875252756,9.896453355104837,8.499375550179197,8.663307900467528,0
0.0,0.2,9.85010967308453,9.897609546760142,8.487725145727026,8.675932957807861,0
0.0,0.25,9.843794410558148,9.895330347986851,8.437189328863692,8.645430713326155,0
0.0,0.30000000000000004,9.840667589595412,9.894250633898471,8.425395290533665,8.646735888094621,0
0.0,0.35000000000000003,9.836960074345575,9.891922675178332,8.401719954842727,8.638825258952831,0
0.0,0.4,9.830229747766948,9.885705670505777,8.317237257214346,8.56495168843823,0
0.0,0.45,9.827990559414818,9.883022572003453,8.309967683197188,8.565696125045783,0
0.0,0.5,9.826106969895138,9.880830299079909,8.31421796509879,8.58055736662825,0
0.0,0.55,9.823603751644862,9.877475390092934,8.290840326333177,8.562284382036983,0
0.0,0.6000000000000001,9.824214141407454,9.877009705971108,8.309733268388822,8.584813347209478,0
0.0,0.65,9.819360137966603,9.8711812363959,8.245670197629403,8.528082194610981,0
0.0,0.7000000000000001,9.820475535356167,9.87124957510623,8.286040868315656,8.57307997771799,0
0.0,0.75,9.81711999471595,9.8665124164542,8.243007489956325,8.531015759242123,0
0.0,0.8,9.818039954923504,9.866466256134538,8.271731758273265,8.562924635378833,0
0.0,0.8500000000000001,9.816855985168528,9.863971988314015,8.252110937519063,8.545170632965467,0
0.0,0.9,9.81557943105549,9.86177806205988,8.24602913488588,8.542109381579772,0
0.0,0.9500000000000001,9.814306881040611,9.859434273604224,8.218962190361946,8.514815635409237,0
0.0,1.0,9.81491856142958,9.859216746240838,8.234773231351948,8.53532608770293,0
0.05,0.0,9.890677646240533,9.87177798646145,8.680955931387489,8.607443050714222,0
0.05,0.05,9.88164155408248,9.881654966833432,8.649224650634183,8.64860101301191,1
0.05,0.1,9.872946865626629,9.886204020131354,8.619991370691746,8.6917541382303,0
0.05,0.15000000000000002,9.864357667274634,9.886524806368818,8.536974188151964,8.66098512196934,0
0.05,0.2,9.858676884353725,9.887044876893915,8.5081186523842,8.673087714722834,0
0.05,0.25,9.854608195542959,9.886777737399578,8.488257726319489,8.68126912824503,0
0.05,0.30000000000000004,9.851022314363048,9.885053064702083,8.4708970193544,8.682750410706195,0
0.05,0.35000000000000003,9.84432257971478,9.879422755295758,8.392269425328289,8.61954358760046,0
0.05,0.4,9.844447816913883,9.879669657038141,8.428884862340515,8.66719224652715,0
0.05,0.45,9.840696688474363,9.875526527306638,8.398300714877143,8.647118447406516,0
0.05,0.5,9.83742565441773,9.871788210784981,8.347393809519504,8.605048673271227,0
0.05,0.55,9.837774563517193,9.87080615941805,8.371143135112073,8.628084729848974,0
0.05,0.6000000000000001,9.832357420113238,9.8644122315397,8.316555302495926,8.584602387276231,0
0.05,0.65,9.83088167373186,9.86156921447098,8.304627024517654,8.578600873674905,0
0.05,0.7000000000000001,9.831793319156883,9.861356886095196,8.328192797629887,8.604896290398864,0
0.05,0.75,9.828025905846793,9.856241247965704,8.285238929131644,8.563967007613037,0
0.05,0.8,9.82707858815508,9.85417677380839,8.281526870601098,8.565983782150747,0
0.05,0.8500000000000001,9.82713118578574,9.85316076780057,8.298762360392653,8.587322700305362,0
0.05,0.9,9.826428589067456,9.851249533091012,8.283525714463728,8.574308354696713,0
0.05,0.9500000000000001,9.827176360083001,9.850668661205804,8.30298409067875,8.592693696134095,0
0.05,1.0,9.82743144851236,9.850107934241668,8.306829303991432,8.60059737342269,0
0.1,0.0,9.894830818721017,9.862557762187812,8.686792431317786,8.559170268083221,0
0.1,0.05,9.884913891684969,9.871646593848604,8.662195295525358,8.591969155593368,0
0.1,0.1,9.879035935102722,9.87903072781961,8.646986274606215,8.647559973517943,1
0.1,0.15000000000000002,9.871045907392656,9.880074183847354,8.588104496115081,8.650666563552685,0
0.1,0.2,9.865203354530626,9.880100926496285,8.539845368939154,8.652452646178396,0
0.1,0.25,9.861387551982395,9.879628324371964,8.537038414206306,8.689087554160277,0
0.1,0.30000000000000004,9.855718381029108,9.876107093248251,8.481101144409745,8.664691325800886,0
0.1,0.35000000000000003,9.853054371709641,9.874197566511816,8.479321883180212,8.683148125351911,0
0.1,0.4,9.850463498148711,9.871739511274242,8.465405690976514,8.688572066150627,0
0.1,0.45,9.846574784557651,9.867337306816093,8.4290290901049,8.664989671763287,0
0.1,0.5,9.842711841775726,9.862972194282625,8.390244080809167,8.639417336322628,0
0.1,0.55,9.840355019044049,9.859269078976736,8.370861932739821,8.627005864555352,0
0.1,0.6000000000000001,9.838307282390643,9.855999120252923,8.35736995134336,8.619612034200264,0
0.1,0.65,9.8395890238822,9.855931059645656,8.381050945272419,8.650116909514459,0
0.1,0.7000000000000001,9.836426370166379,9.851055469744907,8.326446725610346,8.593806945173258,0
0.1,0.75,9.833326894577436,9.84689923801651,8.30137517987499,8.578250008537346,0
0.1,0.8,9.83621122246242,9.848370363632897,8.359417635688443,8.63791830500378,0
0.1,0.8500000000000001,9.833931932510207,9.844940150426755,8.341985531715236,8.625901858403832,0
0.1,0.9,9.832254357765995,9.84201185527565,8.311344219016155,8.596531524312399,0
0.1,0.9500000000000001,9.83177066196959,9.840277374728858,8.307028808604425,8.592421658882374,0
0.1,1.0,9.83059665865242,9.838124462858593,8.301165860494121,8.592332648083111,0
0.15000000000000002,0.0,9.897592559361911,9.85617121861238,8.683644996330306,8.519864951804031,0
