sub_A,sub_B,utility_A,utility_B,cvar_A,cvar_B,symmetric,no_convergence
0.0,0.0,9.57990112123382,9.579860041431841,5.375428537453515,5.375262279307779,1,0
0.0,0.05,9.59912316013122,9.549795412174735,5.369316125684084,5.321365797250272,0,0
0.0,0.1,9.61934002603831,9.507888711178948,5.308406574449567,5.255267232813354,0,0
0.0,0.15000000000000002,9.640918607951795,9.452595569266398,5.27204444130609,5.215917245153162,0,0
0.0,0.2,9.663381187844918,9.380966114334207,5.193815377752905,5.135249694416728,0,0
0.0,0.25,9.68789559163938,9.291719610605766,5.119427302009219,5.058517855057377,0,0
0.0,0.30000000000000004,9.712292562021377,9.180548807971524,5.038037437189586,4.975055644564139,0,0
0.0,0.35000000000000003,9.738772169286833,9.046314922465617,4.946482356631516,4.881796247274555,0,0
0.0,0.4,9.768665402034795,8.886717758371402,4.865979909637328,4.79972565186164,0,0
0.0,0.45,9.798995561997655,8.695688958794266,4.763099429554408,4.6958817955843,0,0
0.0,0.5,9.83448711183055,8.470874241653583,4.653984441155181,4.5862180929356215,0,0
0.0,0.55,9.869977416064566,8.203434148019802,4.530908435920029,4.463121815006109,0,0
0.0,0.6000000000000001,9.910996314917842,7.88707733219458,4.397068911396925,4.3297374648231255,0,0
0.0,0.65,9.955025572650394,7.508370796056161,4.245310739447657,4.178994931511239,0,0
0.0,0.7000000000000001,10.005658709702708,7.051922282663422,4.101766613248438,4.0366009322846255,0,0
0.0,0.75,10.062393151487704,6.490876676046976,3.92764710337445,3.788905033844913,0,0
0.0,0.8,10.130831961237302,5.788328345548004,3.7618434684936464,3.310374641102097,0,0
0.0,0.8500000000000001,10.207127822473375,4.882526213030061,3.5595414175108826,2.664763129857624,0,0
0.05,0.0,9.550104242202798,9.59945273828064,5.3274626146581125,5.375472714459372,0,0
0.05,0.05,9.572805711699345,9.57280160785239,5.367064736142577,5.366948012092009,1,0
0.05,0.1,9.597414078539787,9.53536555018729,5.350410656560944,5.326751935802941,0,0
0.05,0.15000000000000002,9.622732261538708,9.483737771226652,5.294199981929694,5.264777712076253,0,0
0.05,0.2,9.650195064921197,9.416907043870841,5.24640762450847,5.21151361056434,0,0
0.05,0.25,9.678641821561342,9.331278315550382,5.189535829864231,5.149307897959117,0,0
0.05,0.30000000000000004,9.707791942094214,9.223629788757613,5.112943423147789,5.067753956370498,0,0
0.05,0.35000000000000003,9.737633309058761,9.091340232138284,5.026827985506032,4.977096291646952,0,0
0.05,0.4,9.76951909074612,8.931834212653856,4.928223372706422,4.874525179455286,0,0
0.05,0.45,9.80345035264658,8.741164273713242,4.824034290935503,4.76695337268552,0,0
0.05,0.5,9.83968875548216,8.514714388407008,4.712436758726982,4.652641247220255,0,0
0.05,0.55,9.879129766589868,8.246822763241989,4.606408579988892,4.544425791920754,0,0
0.05,0.6000000000000001,9.921606412708824,7.9281128826780805,4.481461910049863,4.41813621012114,0,0
0.05,0.65,9.96951365749314,7.547633881686499,4.347914091071144,4.2839408984579155,0,0
0.05,0.7000000000000001,10.020441086804869,7.086865486483851,4.184442903529626,4.120780255352236,0,0
0.05,0.75,10.07835881655982,6.522006903596002,4.006023015531502,3.7960547771599438,0,0
0.05,0.8,10.146470633950676,5.81633772700249,3.846437147438568,3.3231518053225346,0,0
0.05,0.8500000000000001,10.224956426008543,4.906353584490075,3.6445730751687977,2.6778395122542813,0,0
0.1,0.0,9.506553886278997,9.617977354142042,5.237213074782744,5.2901745335213475,0,0
0.1,0.05,9.53478646519711,9.596828145014294,5.320477849182579,5.344125306807283,0,0
0.1,0.1,9.563263226406633,9.56325879345527,5.35750983139531,5.357482899446634,1,0
0.1,0.15000000000000002,9.593635999173369,9.51663707917066,5.327458543246921,5.330806933777543,0,0
0.1,0.2,9.624477165263917,9.452995084600756,5.263200809700725,5.259337311892625,0,0
0.1,0.25,9.658708357176565,9.372493769032562,5.225806660054545,5.213361464407423,0,0
0.1,0.30000000000000004,9.692296652796465,9.268286061514463,5.157408749678989,5.136551225099965,0,0
0.1,0.35000000000000003,9.728697524544092,9.140363760399913,5.091865823992862,5.0629400946504,0,0
0.1,0.4,9.767338524935532,8.984662940601353,5.03049578609231,4.993979949033801,0,0
0.1,0.45,9.803502651845715,8.793306242791191,4.912240534797929,4.86922664693267,0,0
0.1,0.5,9.844109314996613,8.566944724860884,4.813551428850112,4.764722167551005,0,0
0.1,0.55,9.886481241570262,8.296405238381443,4.682208370789765,4.628849044139384,0,0
0.1,0.6000000000000001,9.930739907713582,7.97444301752703,4.54817877867202,4.491292635255914,0,0
0.1,0.65,9.979167912620126,7.589815938264855,4.40452461485483,4.345198407281594,0,0
0.1,0.7000000000000001,10.031680428871702,7.125474498013718,4.243554857663252,4.16760093932621,0,0
0.1,0.75,10.093305027348366,6.557557717721685,4.090836485645116,3.8061593802055875,0,0
0.1,0.8,10.16089025905503,5.84662847806606,3.913016609397304,3.3183232634456816,0,0
0.1,0.8500000000000001,10.239634754201436,4.934078804711088,3.7279651530165996,2.6874527405945488,0,0
0.15000000000000002,0.0,9.45379412991649,9.642213430915302,5.224283442345644,5.2804994188874,0,0
0.15000000000000002,0.05,9.483438864218687,9.6224432791792,5.260439018706623,5.289847853121628,0,0
0.15000000000000002,0.1,9.516726022018132,9.593696204991534,5.338156531615335,5.33481232700919,0,0
0.15000000000000002,0.15000000000000002,9.554002749034419,9.553977185315183,5.398498724153426,5.398401420608468,1,0
0.15000000000000002,0.2,9.591381346828465,9.49665372911907,5.362632648894246,5.392978617452471,0,0
0.15000000000000002,0.25,9.627992934529034,9.417977435007954,5.2764111480726905,5.300112424227915,0,0
0.15000000000000002,0.30000000000000004,9.669111619630119,9.31989962895691,5.240401129435194,5.251909066056321,0,0
0.15000000000000002,0.35000000000000003,9.709294405845652,9.19378297277758,5.146614707030513,5.145841818881542,0,0
0.15000000000000002,0.4,9.75132995905197,9.038663684904877,5.053290627919012,5.040962607697997,0,0
0.15000000000000002,0.45,9.796607942888745,8.85176808760642,4.989678978772823,4.966551290703668,0,0
0.15000000000000002,0.5,9.841588193840229,8.624730906198144,4.883075450116333,4.850358943854517,0,0
0.15000000000000002,0.55,9.888559061071236,8.353350750789899,4.7720468088450545,4.731071668000536,0,0
0.15000000000000002,0.6000000000000001,9.93784755488391,8.028915489382948,4.642884136781268,4.5951715992766085,0,0
0.15000000000000002,0.65,9.989635179901265,7.641129241894551,4.510880535934783,4.457901583648722,0,0
0.15000000000000002,0.7000000000000001,10.043692056180493,7.171637237873665,4.342617215150915,4.197955783052146,0,0
0.15000000000000002,0.75,10.10700039002401,6.598668450761291,4.187699635763767,3.8253493770910088,0,0
0.15000000000000002,0.8,10.177075840760477,5.882926108945331,4.013812146416368,3.3407181095843503,0,0
0.15000000000000002,0.8500000000000001,10.255254945622985,4.965160486800076,3.818597841050493,2.7002262650885336,0,0
0.2,0.0,9.380985285624641,9.66344874508827,5.1288939654188725,5.187387896205908,0,0
0.2,0.05,9.417136212281816,9.650423953141711,5.213599530216578,5.248506917966291,0,0
0.2,0.1,9.453730253700838,9.62521307907344,5.27348840130417,5.277349448962001,0,0
0.2,0.15000000000000002,9.495546573674835,9.590288239933086,5.37368756224341,5.343400453556787,0,0
0.2,0.2,9.536839098388905,9.536806476042516,5.347936575333193,5.347819548936964,1,0
0.2,0.25,9.58444800972442,9.468529260297279,5.354552380437533,5.402361547782736,0,0
0.2,0.30000000000000004,9.630002331507455,9.37378925047932,5.276757529573992,5.329780092739774,0,0
0.2,0.35000000000000003,9.677973121727602,9.253382314741518,5.212764765052073,5.249690838060931,0,0
0.2,0.4,9.727679359609686,9.102666621577479,5.138581724135519,5.1588192557572485,0,0
0.2,0.45,9.77812075521369,8.91634672763758,5.047195680333782,5.051552830770216,0,0
0.2,0.5,9.830173864309357,8.690465749227059,4.954141973849336,4.943956295788864,0,0
0.2,0.55,9.885724664112153,8.41966829461599,4.87672093444464,4.853498282963662,0,0
0.2,0.6000000000000001,9.938930453644685,8.091348681661978,4.725698788797576,4.691595102428146,0,0
0.2,0.65,9.997917244731669,7.699907815164053,4.609642441876526,4.539782026010823,0,0
0.2,0.7000000000000001,10.05603976208794,7.225527807772982,4.447392571127276,4.225687370773111,0,0
0.2,0.75,10.120277576118863,6.6457666584865125,4.276458634979735,3.8356374439880967,0,0
0.2,0.8,10.191743264636528,5.924097434922226,4.102000546643812,3.350568899200032,0,0
0.2,0.8500000000000001,10.271255676744529,4.998577543448708,3.881210172815646,2.6917753865735072,0,0
