sub_A,sub_B,utility_A,utility_B,cvar_A,cvar_B,symmetric,no_convergence
0.0,0.0,9.883227454744143,9.883256896930982,8.677915624383486,8.678099621421639,1,0
0.0,0.05,9.903201519089698,9.848256021223447,8.634736681442421,8.556064457482703,0,0
0.0,0.1,9.929210245142562,9.803087598898108,8.566908294595857,8.480035309228642,0,0
0.0,0.15000000000000002,9.958422684466276,9.742089996356157,8.45398485382996,8.362156577090358,0,0
0.0,0.2,9.991176986259294,9.66238633385752,8.35887287944641,8.261409179704536,0,0
0.0,0.25,10.025356064981036,9.55857539883138,8.21688609471904,8.115247994632565,0,0
0.0,0.30000000000000004,10.064036632861207,9.429905520654023,8.074207708855921,7.968173536095932,0,0
0.0,0.35000000000000003,10.10560462084455,9.270191575296684,7.868886194918024,7.762648133120027,0,0
0.0,0.4,10.157550923021537,9.081199817793463,7.74055729908781,7.62493204272546,0,0
0.0,0.45,10.2102686974922,8.848047906616436,7.524383999699371,7.407865105451238,0,0
0.0,0.5,10.274403436796149,8.570009006850254,7.3436077321808275,7.222642847760609,0,0
0.0,0.55,10.340276617138832,8.227984806931417,7.073822912540887,6.9601151107415475,0,0
0.0,0.6000000000000001,10.421390231210145,7.812037822132602,6.833261862769304,6.717250726298622,0,0
0.0,0.65,10.512019371057432,7.292321707594373,6.596614523579928,6.460250415826113,0,0
0.0,0.7000000000000001,10.61159229640361,6.628446320029429,6.275679302489999,6.141709207121664,0,0
0.0,0.75,10.731834419341945,5.757474390297434,5.953213004431914,5.2596297770564595,0,0
0.0,0.8,10.872393628075287,4.569197246802136,5.609304940589538,4.025552735928526,0,0
0.0,0.8500000000000001,11.042650618500241,2.8612192837744876,5.205002203403916,2.2325373628559735,0,0
0.05,0.0,9.849116336751642,9.904169339837951,8.561348010095386,8.640632497250191,0,0
0.05,0.05,9.875359613003099,9.875367794173794,8.671932750809924,8.67215005000471,1,0
0.05,0.1,9.903508832982299,9.832506146943853,8.630727267330265,8.594808713361969,0,0
0.05,0.15000000000000002,9.938375330752022,9.77720043870521,8.584644378222642,8.538054802590993,0,0
0.05,0.2,9.972798898343038,9.698852328660204,8.461494374904984,8.403724200607787,0,0
0.05,0.25,10.009731786723641,9.597032933880657,8.3065872256799,8.239562332650264,0,0
0.05,0.30000000000000004,10.052750357835256,9.471130739435159,8.17136171537284,8.095945304692846,0,0
0.05,0.35000000000000003,10.102613897556324,9.316530972004648,8.055395487191575,7.9676748235052735,0,0
0.05,0.4,10.15450661322887,9.12469945384524,7.889256070594915,7.79423563159322,0,0
0.05,0.45,10.211782815577408,8.890819996551576,7.691739951240365,7.5807336058284305,0,0
0.05,0.5,10.273950108590673,8.606861934847027,7.4461442515641565,7.336694869653642,0,0
0.05,0.55,10.345781232513211,8.264780427550981,7.247132983182672,7.136935766449568,0,0
0.05,0.6000000000000001,10.42599683022256,7.843243156670262,7.004286134670595,6.875753066888221,0,0
0.05,0.65,10.510783150327828,7.316489377948504,6.674714252254804,6.566757526884266,0,0
0.05,0.7000000000000001,10.619407323338129,6.651100118262269,6.444580201107592,6.185037503677305,0,0
