e_A,e_B,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.0,0.0,9.780834054105652,9.799596428999289,8.411638466311095,8.431968370380481,1
0.0,0.05,9.755325164414788,9.784259194225443,8.393337963549756,8.420094052410526,0
0.0,0.1,9.79185630643823,9.746153896458509,8.418844413649435,8.372690370006136,0
0.0,0.15000000000000002,9.778462636428506,9.688527727746347,8.53108877413688,8.378217050509665,0
0.0,0.2,9.791195515553023,9.720565465255802,8.541343987257404,8.40966521791158,0
0.0,0.25,9.782823417791917,9.72145666619806,8.544474474262582,8.419137941682294,0
0.0,0.30000000000000004,9.79578257961437,9.701481462722343,8.542481410826955,8.385084777589489,0
0.0,0.35000000000000003,9.850284730184692,9.606214309171678,8.12637356664359,7.909697957861166,0
0.0,0.4,9.80390643908322,9.638270491272374,8.070774693078574,7.931170063751051,0
0.0,0.45,9.822441949167823,9.617370946149153,8.083890388021352,7.906390573709805,0
0.0,0.5,9.806305463135926,9.550752277846811,8.108720964335363,7.919042656834767,0
0.0,0.55,9.81900409386691,9.561075699120277,8.125743862488592,7.935069966163164,0
0.0,0.6000000000000001,9.83949853013907,9.470659316030014,8.183288519859417,7.853504666532229,0
0.0,0.65,9.777429678239018,9.38857718668797,8.211723071369258,7.865514060632259,0
0.0,0.7000000000000001,9.815077385204944,9.307647320647192,8.32381697343103,7.879118097453417,0
0.0,0.75,9.769974294904385,9.170558862543151,8.311695623061022,7.7675319593239305,0
0.0,0.8,9.782843766556663,8.910248285256626,8.160618540272928,7.328177756870641,0
0.0,0.8500000000000001,9.78391978287361,8.548727124749428,8.249262418902985,7.060650826673199,0
0.0,0.9,9.789776921856799,7.92586048190201,8.237742797362687,6.4204616136178005,0
0.05,0.0,9.804478547987951,9.773708433415779,8.452960100543669,8.419992284142813,0
0.05,0.05,9.79121223753034,9.804531013053952,8.428017720395223,8.431949897122587,1
0.05,0.1,9.79631781275302,9.797499974402989,8.42944617980177,8.430203166262881,0
0.05,0.15000000000000002,9.793316633079474,9.693778120607705,8.539609709393435,8.377743412121756,0
0.05,0.2,9.85515565460476,9.711447403122845,8.619913114230178,8.414680437654605,0
0.05,0.25,9.795058559560555,9.703986391445456,8.536605934972654,8.381826304869842,0
0.05,0.30000000000000004,9.790486533918704,9.691596803009412,8.537475118348494,8.373812844571978,0
0.05,0.35000000000000003,9.803010630944213,9.638020071294457,8.067987801685096,7.929915538766757,0
0.05,0.4,9.816869619661164,9.637525493205192,8.085733472260095,7.933839221064526,0
0.05,0.45,9.816931452091943,9.622665286390275,8.059078651023718,7.891290601494109,0
0.05,0.5,9.829090024844291,9.53463278026016,8.102259482878345,7.869106579193761,0
0.05,0.55,9.789738381301424,9.550650473650592,8.088439828844123,7.9216659244789085,0
0.05,0.6000000000000001,9.783555650935543,9.47351332689244,8.162456778373324,7.891659212420023,0
0.05,0.65,9.809334113857092,9.382241626545401,8.246506247698237,7.861929182649279,0
0.05,0.7000000000000001,9.816258845605885,9.289807160472039,8.294122754481183,7.830819678092627,0
0.05,0.75,9.868518903064313,9.140746196155021,8.429119098080848,7.764896875195031,0
0.05,0.8,9.80414661398136,8.961999135306366,8.182890125452444,7.366004892840414,0
0.05,0.8500000000000001,9.813882437292532,8.581453312551798,8.291552601295002,7.105906553822066,0
0.05,0.9,9.817707951727932,7.765959875190927,8.268351439967129,6.259158265094224,0
0.1,0.0,9.778290075697466,9.745368434781811,8.41127882652295,8.37860627968421,0
0.1,0.05,9.785823959503329,9.790347026791778,8.423600222439005,8.430581041136804,0
0.1,0.1,9.836690090085963,9.836670697639878,8.49788936248891,8.501207781866075,1
0.1,0.15000000000000002,9.763382525997478,9.673977016460487,8.520218325557908,8.365179907943379,0
0.1,0.2,9.807806109286279,9.722665174343632,8.557112792767601,8.404801592162771,0
0.1,0.25,9.815190059809499,9.712686001462039,8.560184184924768,8.392868057735031,0
0.1,0.30000000000000004,9.8107406702516,9.736882476921012,8.562761722137028,8.430649243387872,0
0.1,0.35000000000000003,9.815256717888904,9.621436808838302,8.090790371713641,7.921990018054403,0
0.1,0.4,9.816775934536874,9.617875314291737,8.07447370903895,7.901367658979522,0
0.1,0.45,9.80604282077855,9.641161173517316,8.067604780705874,7.92962082812399,0
0.1,0.5,9.800380792983054,9.552081025326864,8.070292633725314,7.899958756650021,0
0.1,0.55,9.783376877043292,9.554247284592828,8.076211331677923,7.916817025311065,0
0.1,0.6000000000000001,9.802203975979442,9.473735240458366,8.17582172793437,7.886921059675023,0
0.1,0.65,9.785319278169352,9.39286751642111,8.233518965409882,7.883035072381546,0
0.1,0.7000000000000001,9.802356097469033,9.331273553391723,8.28908828012535,7.879495982260683,0
0.1,0.75,9.829701525535297,9.147525667679723,8.387251488960972,7.768067827499236,0
0.1,0.8,9.811169404114308,8.867678300679094,8.232504655209322,7.310588481802833,0
0.1,0.8500000000000001,9.829936318548882,8.618314878264401,8.29762015285282,7.132673177409859,0
0.1,0.9,9.813468911358445,7.815137964019458,8.247713122828214,6.295304572269509,0
0.15000000000000002,0.0,9.687080089119693,9.807245925220371,8.358568312463449,8.543886230704507,0
0.15000000000000002,0.05,9.692316647004194,9.818504884560781,8.365276083005613,8.559890088322454,0
0.15000000000000002,0.1,9.665507710290829,9.755046577466397,8.347622488253775,8.504716243732398,0
0.15000000000000002,0.15000000000000002,9.734446881010916,9.734437230433237,8.53739734814293,8.536381607518603,1
0.15000000000000002,0.2,9.708669356398952,9.711980561874505,8.499775599579038,8.502276086917265,0
