e_A,e_B,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.0,0.0,10.017565738302567,10.017646623494398,8.635462850248853,8.631914635327671,1
0.0,0.05,10.017526274236067,10.00786559622237,8.606307869530376,8.596952784830382,0
0.0,0.1,10.016613208607758,9.997267549412044,8.599637675499007,8.581515306210816,0
0.0,0.15000000000000002,10.020137913090593,9.986633451186623,8.667516604296543,8.658514038145329,0
0.0,0.2,10.020818748946553,9.975535503925911,8.674479551287071,8.65456791437871,0
0.0,0.25,10.022602468791428,9.956078045975715,8.67216617267699,8.617294242492092,0
0.0,0.30000000000000004,10.022153382578464,9.941816169477486,8.691997895188504,8.62380351232095,0
0.0,0.35000000000000003,10.02061748596679,9.91280763416228,8.686957954624289,8.591940109535917,0
0.0,0.4,10.02280939195157,9.899004297414521,8.694695505419796,8.582513722695312,0
0.0,0.45,10.022848218497687,9.865304926098382,8.736937557275974,8.602427776606367,0
0.0,0.5,10.021890352066514,9.825999139570712,8.734561608396481,8.55537613078729,0
0.0,0.55,10.024267976012398,9.786263407595621,8.765281477910545,8.549784814481102,0
0.0,0.6000000000000001,10.023749541963408,9.715076231205995,8.781200317484528,8.613886836329662,0
0.0,0.65,10.023977561400423,9.63631990124507,8.7481031776595,8.393669263868377,0
0.0,0.7000000000000001,10.025379881873183,9.550362980010211,8.734323562380734,8.28939927337718,0
0.0,0.75,10.025027094047205,9.393745290234282,8.748872875432202,8.137617605795217,0
0.0,0.8,10.027150403636766,9.190464951661866,8.764873977417363,7.963617435084964,0
0.0,0.8500000000000001,10.023485977267027,8.8225974704124,8.700664831071002,7.508159192676083,0
0.0,0.9,10.02493999868244,8.093433231149742,8.7310982355134,6.805260772493252,0
0.05,0.0,10.00998518214412,10.019668080562358,8.653811863992297,8.660935991973542,0
0.05,0.05,10.007540012999899,10.007432275996756,8.614727219400583,8.613270490226606,1
0.05,0.1,10.008080871507048,9.998334618337203,8.596082709396658,8.591513821995669,0
0.05,0.15000000000000002,10.008525950194187,9.984547954249985,8.616995685798772,8.615275318116785,0
0.05,0.2,10.011148185208674,9.975385361384916,8.6550118059923,8.637875050034872,0
0.05,0.25,10.01133863284993,9.95463919235901,8.682320408276366,8.638132296108928,0
0.05,0.30000000000000004,10.01229790846126,9.941709530466586,8.670534258016248,8.612115132575621,0
0.05,0.35000000000000003,10.013710005511244,9.91547893424148,8.692990906188145,8.605325978481734,0
0.05,0.4,10.010831996465596,9.896830828233565,8.695019288751944,8.593316170468484,0
0.05,0.45,10.011286553032704,9.8633936118483,8.697130279206084,8.572512237500943,0
0.05,0.5,10.013073459329336,9.826984334010113,8.733888431593583,8.565212625580621,0
0.05,0.55,10.010804883919732,9.78256407942222,8.742558990194103,8.514114849589694,0
0.05,0.6000000000000001,10.01611720994086,9.717103380110434,8.795755686414708,8.636924524701282,0
0.05,0.65,10.014359780458703,9.63633074122991,8.742457155006067,8.406457675229294,0
