sub_A,sub_B,utility_A,utility_B,cvar_A,cvar_B,symmetric,no_convergence
0.0,0.0,9.773205009931598,9.778681942813211,7.690975928266793,7.613470309332653,1,0
0.0,0.05,9.803514481369593,9.743692294510481,7.620418034813494,7.538380925991229,0,0
0.0,0.1,9.833811683851595,9.692493718233823,7.501021152968289,7.414997836281215,0,0
0.0,0.15000000000000002,9.872085040188102,9.630542415669138,7.4642927019352765,7.373640101426031,0,0
0.0,0.2,9.907097098364764,9.544255395995798,7.306847153289961,7.213365691914785,0,0
0.0,0.25,9.948283974649858,9.439904224867988,7.191395642792761,7.0948633626322035,0,0
0.0,0.30000000000000004,9.994608439362484,9.312752770101193,7.073783968819894,6.972910154968252,0,0
0.0,0.35000000000000003,10.04103773485817,9.154704446124011,6.890050397192552,6.787903381154186,0,0
0.0,0.4,10.09415120857236,8.966501853834922,6.739969955951402,6.634268473756397,0,0
0.0,0.45,10.153968845422682,8.740647479397028,6.559357827791167,6.451679751330192,0,0
0.0,0.5,10.21956677812698,8.46801080920639,6.383650233006774,6.270199144479363,0,0
0.0,0.55,10.292208375443998,8.135973138038588,6.1883262480228245,6.067825328209875,0,0
0.0,0.6000000000000001,10.372383019024433,7.727293820941091,5.950002588462272,5.830608237351439,0,0
0.0,0.65,10.462770965932766,7.215922728451467,5.693844064665115,5.584570822642171,0,0
0.0,0.7000000000000001,10.569430943014389,6.562608666054817,5.456501270309771,5.341890545333061,0,0
0.0,0.75,10.691928322832723,5.6992464347167235,5.173610962428807,4.716566400760809,0,0
0.0,0.8,10.83517796325121,4.518975251836981,4.87383637551097,3.608769493166029,0,0
0.0,0.8500000000000001,11.006505554700773,2.818814188662191,4.499293751073576,1.9923320902043846,0,0
0.05,0.0,9.74843857146769,9.793732113727055,7.7772993077129575,7.746485432743197,0,0
0.05,0.05,9.782724708661986,9.762555704530268,7.7238918709041275,7.680821763725057,1,0
0.05,0.1,9.818412565048968,9.716464561922802,7.640445929502275,7.588662422442897,0,0
0.05,0.15000000000000002,9.856455131561109,9.653892331647912,7.54582276891593,7.48541747992729,0,0
0.05,0.2,9.895230426032526,9.570504442924149,7.4090887935024625,7.340804751163839,0,0
0.05,0.25,9.936725403280047,9.465457390726131,7.258954972920402,7.184899983226783,0,0
0.05,0.30000000000000004,9.986685916280525,9.34028589698384,7.1617399398945745,7.07913389397807,0,0
0.05,0.35000000000000003,10.038719072244126,9.18548567385144,7.035585179013805,6.948933129466914,0,0
0.05,0.4,10.093813415728661,8.995853475790575,6.861663397713948,6.763996014755213,0,0
