tariff_AB,tariff_BA,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.2,0.15000000000000002,9.764576220030348,9.76001148810146,7.696818331940871,7.493183690436018,0
0.2,0.2,9.762813450688064,9.757053002608592,7.750131963562843,7.535039823532525,1
0.2,0.25,9.758809792870201,9.754090329387212,7.787468303003262,7.56961192604476,0
0.2,0.30000000000000004,9.75464380659265,9.752197338942166,7.812432382174816,7.60338718437153,0
0.2,0.35000000000000003,9.749261973099307,9.750025512728465,7.8144597222521925,7.619577547232223,0
0.2,0.4,9.741733608373375,9.746412969538163,7.7858724313114065,7.609103773634338,0
0.2,0.45,9.737806435065638,9.74619062549152,7.793501674524172,7.637874706829938,0
0.2,0.5,9.73100327356703,9.743517652968603,7.775720875469924,7.640079164624099,0
0.2,0.55,9.724968991356468,9.741541239039574,7.73664669199277,7.620456591860891,0
0.2,0.6000000000000001,9.72012117649065,9.74059752189212,7.738637118609554,7.640186282717553,0
0.2,0.65,9.713108734030103,9.737116128653817,7.68970917588619,7.605396947688076,0
0.2,0.7000000000000001,9.707779743426999,9.735559360067256,7.689011987988005,7.616967772856901,0
0.2,0.75,9.705304109853497,9.736349168428081,7.695421387761448,7.638272244992078,0
0.2,0.8,9.700588298925089,9.734938530043637,7.675934204760093,7.629692732772336,0
0.2,0.8500000000000001,9.698031705090258,9.735408564739572,7.694211328061958,7.658465642844437,0
0.2,0.9,9.694176707217807,9.733900217963521,7.656673898338929,7.630008338081204,0
0.2,0.9500000000000001,9.694453673499911,9.736476217474005,7.710705947892851,7.690572609758102,0
0.2,1.0,9.689132416664405,9.733925216228004,7.664822378850653,7.654106744649013,0
0.25,0.0,9.756834798103075,9.779050144857006,7.574583647444559,7.429287949889001,0
0.25,0.05,9.765386018500774,9.773111159168302,7.660938726589625,7.483234361209118,0
0.25,0.1,9.768116331871001,9.767305611866096,7.712020711154671,7.513753837817696,0
0.25,0.15000000000000002,9.764980155950596,9.759945990907394,7.729033821756743,7.50986115288714,0
0.25,0.2,9.76267049465864,9.756504347645627,7.772348832994919,7.54217267815106,0
0.25,0.25,9.75876552025286,9.75319139054279,7.7929565393302545,7.5562429260941295,1
0.25,0.30000000000000004,9.753950931876679,9.750936292526188,7.820872600549713,7.587060545688996,0
0.25,0.35000000000000003,9.747242546901663,9.747376394892546,7.8198759791368255,7.594498191862427,0
0.25,0.4,9.743545281186533,9.747194317014227,7.84032869654791,7.62802446617533,0
0.25,0.45,9.733338433148104,9.741391793317286,7.7706662653389555,7.578774454327901,0
0.25,0.5,9.726382994882313,9.738322062985551,7.741034698331705,7.566101159448985,0
0.25,0.55,9.721800194693177,9.737631464925816,7.729778831811942,7.572667583894596,0
0.25,0.6000000000000001,9.71584312965331,9.735736959930103,7.708886617821193,7.569572924250776,0
0.25,0.65,9.713554404534962,9.736997456747513,7.745437683592791,7.620187836364495,0
0.25,0.7000000000000001,9.707138071441257,9.734264272545515,7.699942427485733,7.589790216382216,0
0.25,0.75,9.704923304842872,9.735702169349572,7.739999532524283,7.642136693621362,0
0.25,0.8,9.698022498987452,9.732087897905355,7.673581246804341,7.587038982250488,0
0.25,0.8500000000000001,9.695099071378214,9.73203624444065,7.6756787072377275,7.599703359570402,0
0.25,0.9,9.692196234745948,9.731919169143865,7.673615136984756,7.606681672970415,0
0.25,0.9500000000000001,9.688704004556552,9.73083058211892,7.65808690076187,7.599979557398896,0
0.25,1.0,9.688500661867495,9.733013428753567,7.699413552100975,7.647025689344876,0
0.30000000000000004,0.0,9.7550146336573,9.77613136201069,7.553848363824678,7.39533977538099,0
0.30000000000000004,0.05,9.763848450489593,9.770222959846594,7.639996986141519,7.448946678018457,0
0.30000000000000004,0.1,9.76458526213788,9.762143350267396,7.66556888912282,7.448950907049961,0
0.30000000000000004,0.15000000000000002,9.762047051976642,9.755580194581864,7.670465813991956,7.440089317694309,0
0.30000000000000004,0.2,9.760101096900026,9.752221533658608,7.721382440548894,7.47699464309098,0
0.30000000000000004,0.25,9.757088486071524,9.750044779282453,7.785800040608571,7.531817781705354,0
0.30000000000000004,0.30000000000000004,9.749661595037752,9.745059043502671,7.765754125868078,7.511778145798504,1
0.30000000000000004,0.35000000000000003,9.744300384041649,9.742802216474372,7.788117107350159,7.5367019741957275,0
0.30000000000000004,0.4,9.735818884826587,9.738142499299075,7.740361882539496,7.501220369029789,0
0.30000000000000004,0.45,9.731491215226011,9.73772309227262,7.7625866846169425,7.538244125321476,0
0.30000000000000004,0.5,9.730030696781359,9.740265376918618,7.818564451239305,7.611219747190904,0
0.30000000000000004,0.55,9.719238968742074,9.733633105716956,7.728550045663005,7.537171868115662,0
0.30000000000000004,0.6000000000000001,9.714592583709853,9.733348273432474,7.725297775536106,7.553161184990836,0
0.30000000000000004,0.65,9.710003587033995,9.732243569249135,7.721388218394623,7.560818209230309,0
0.30000000000000004,0.7000000000000001,9.707498977977698,9.733272024387448,7.747934027356154,7.5996559381941475,0
0.30000000000000004,0.75,9.702128512425725,9.731459334960284,7.724577113322136,7.589557643820494,0
0.30000000000000004,0.8,9.69741443865407,9.72987212584793,7.705467992220489,7.581858677119183,0
0.30000000000000004,0.8500000000000001,9.693117200283535,9.728635029306776,7.680379383787101,7.56682280619566,0
0.30000000000000004,0.9,9.690039596509763,9.728275182669417,7.67726773240008,7.572225430786234,0
0.30000000000000004,0.9500000000000001,9.685667023962981,9.726824425006917,7.653113384377926,7.558912214749584,0
0.30000000000000004,1.0,9.68297984325062,9.726509726012344,7.657200561220644,7.569706589034642,0
0.35000000000000003,0.0,9.754880411854591,9.774569527163644,7.575700670614602,7.404417520448956,0
0.35000000000000003,0.05,9.760293321676068,9.76516178327366,7.599618610211882,7.397140460053589,0
0.35000000000000003,0.1,9.762726599359132,9.758638705516264,7.640422692173008,7.413659625608907,0
0.35000000000000003,0.15000000000000002,9.76064757162862,9.752255266786673,7.669841886850748,7.425835628230147,0
0.35000000000000003,0.2,9.760121572482523,9.750443360761265,7.744044674804563,7.485890933271022,0
0.35000000000000003,0.25,9.754693734218604,9.745567318722555,7.750906771612857,7.482467708087627,0
0.35000000000000003,0.30000000000000004,9.75088913256596,9.744183271308223,7.792024080780531,7.522556317383092,0
0.35000000000000003,0.35000000000000003,9.74462523007533,9.741192572011268,7.789433371502042,7.522360336231523,1
0.35000000000000003,0.4,9.737680603291972,9.737950884775731,7.791045182626227,7.528452353980324,0
0.35000000000000003,0.45,9.730847123808779,9.735440260193483,7.783256337039689,7.5336837827505425,0
0.35000000000000003,0.5,9.72443609424706,9.732814283361417,7.755087692353475,7.519617474007179,0
0.35000000000000003,0.55,9.720755237203614,9.733411995287264,7.794876035833801,7.573881550321306,0
0.35000000000000003,0.6000000000000001,9.713267019423487,9.729852841492985,7.717818251006448,7.514259514632158,0
0.35000000000000003,0.65,9.708202479030012,9.728881420531371,7.728333904417437,7.5367750453467925,0
0.35000000000000003,0.7000000000000001,9.705411230107694,9.729174419344284,7.728489199471533,7.550425069635319,0
0.35000000000000003,0.75,9.700851725989752,9.728195669129901,7.744484687237807,7.576339923358469,0
0.35000000000000003,0.8,9.696807661231034,9.727399526396274,7.720312590422232,7.565070950406635,0
0.35000000000000003,0.8500000000000001,9.692462787299624,9.72602614274883,7.699043539920632,7.554898638894878,0
0.35000000000000003,0.9,9.687559964006324,9.724217416370768,7.661578710414163,7.527252014493315,0
0.35000000000000003,0.9500000000000001,9.687350169649807,9.726944759446885,7.716127706924248,7.592787879188827,0
0.35000000000000003,1.0,9.684555468403653,9.726044591795802,7.723576212764863,7.60133657052774,0
0.4,0.0,9.753507127444049,9.771673057462383,7.567166449214932,7.3854956395104425,0
0.4,0.05,9.761379556333114,9.764298468723108,7.623615491870132,7.408994576699803,0
0.4,0.1,9.763334802855166,9.757446608632483,7.662905115180419,7.426324362919771,0
0.4,0.15000000000000002,9.76161107789281,9.750811525089938,7.684891699135023,7.428227344320689,0
0.4,0.2,9.758663972705031,9.746724444061119,7.720754395060948,7.44917048278896,0
0.4,0.25,9.754047457120748,9.742722088589714,7.758597227145504,7.47728635667499,0
0.4,0.30000000000000004,9.747844433774985,9.73858968063844,7.753234491884812,7.46676779598309,0
0.4,0.35000000000000003,9.741332473952397,9.735268510662806,7.753563781388809,7.466930489346495,0
0.4,0.4,9.7360378692487,9.734108949050155,7.78240645734473,7.502109406862612,1
0.4,0.45,9.73040414240055,9.732234848549007,7.785245101866759,7.513072948499204,0
0.4,0.5,9.722820133809973,9.72905771501994,7.770568616181514,7.511067638216545,0
0.4,0.55,9.717039187099038,9.727301149278995,7.741492285904337,7.496080076371777,0
0.4,0.6000000000000001,9.712376913099503,9.726265801063327,7.729862299714958,7.497548873891577,0
0.4,0.65,9.70705079653429,9.7253833019881,7.7257412756456185,7.508289215609134,0
0.4,0.7000000000000001,9.704984379778105,9.726676704744696,7.752814663378843,7.547414469295908,0
0.4,0.75,9.697179735535276,9.722929713772078,7.726648238085119,7.531653840935159,0
0.4,0.8,9.694292394901002,9.722826680577315,7.708030568590323,7.524723924864474,0
0.4,0.8500000000000001,9.689024425421419,9.720906255921612,7.678279564470525,7.506896608341522,0
0.4,0.9,9.687849937890926,9.72197463121617,7.6990429737071855,7.533847093709409,0
0.4,0.9500000000000001,9.685369991368011,9.722113057789885,7.687941315344931,7.531859335829793,0
0.4,1.0,9.682344288224746,9.721780985502859,7.700724572307525,7.553248683354092,0
0.45,0.0,9.75003819975804,9.766382816302418,7.505987209628522,7.31463539328584,0
0.45,0.05,9.758506458742296,9.759296560616555,7.580406382611629,7.355242640841074,0
0.45,0.1,9.762562787548335,9.754347986438026,7.669011618382833,7.417466979144023,0
0.45,0.15000000000000002,9.760416361024921,9.747844175428083,7.681851514369553,7.415605818186298,0
0.45,0.2,9.75652676046869,9.742140113696962,7.686992347469686,7.4055428160694134,0
0.45,0.25,9.74861623820375,9.734993900425598,7.663489985520407,7.3711433515776585,0
0.45,0.30000000000000004,9.748431976635842,9.737037188897053,7.7722721965872665,7.475827090962291,0
0.45,0.35000000000000003,9.740990989779608,9.73238730862386,7.75662775289235,7.456230630274116,0
0.45,0.4,9.738710591183388,9.734094439246112,7.825572420566105,7.529973495916672,0
0.45,0.45,9.729038904328242,9.728529080035543,7.779619210136342,7.488741091015472,1
0.45,0.5,9.724701114624834,9.728124169614068,7.792064553543558,7.512244977362411,0
0.45,0.55,9.718495068848062,9.726340203303034,7.777525188508233,7.5115197103782165,0
0.45,0.6000000000000001,9.709617649662361,9.721909436950401,7.735747736332936,7.481865702072608,0
0.45,0.65,9.708377445592191,9.72388911700406,7.760269369917244,7.518656964455979,0
0.45,0.7000000000000001,9.703853546725934,9.723032150896806,7.760122608438228,7.5288669737624385,0
0.45,0.75,9.699510565591419,9.722483614234168,7.748922125525793,7.5339329627365,0
0.45,0.8,9.695612854622086,9.721401358310867,7.739157797053952,7.52989706866866,0
0.45,0.8500000000000001,9.690130099003301,9.719360174567383,7.719140434986021,7.52074775806896,0
0.45,0.9,9.687512516798119,9.719348059315456,7.706425733621958,7.518468270450896,0
0.45,0.9500000000000001,9.685901296212519,9.72068889395748,7.7555894351953185,7.572570265255184,0
0.45,1.0,9.678281665917105,9.715406491015099,7.665317141561825,7.490599144320549,0
0.5,0.0,9.750655220205001,9.764833345464552,7.521152736733029,7.31829440227401,0
0.5,0.05,9.7583911835186,9.7568776123254,7.5925688913778,7.354294869354158,0
0.5,0.1,9.762102031022849,9.75171491736845,7.66073733862744,7.400682229046125,0
0.5,0.15000000000000002,9.761990233271764,9.74668132857668,7.715134816210096,7.433940564509787,0
0.5,0.2,9.758836235121361,9.7420936799004,7.734269316651986,7.440847288066483,0
0.5,0.25,9.752280196651425,9.736247499913256,7.732817689483929,7.430644212938148,0
0.5,0.30000000000000004,9.746960108483961,9.73303171087681,7.754043530430585,7.4459821208724755,0
0.5,0.35000000000000003,9.74291401161386,9.732190242485288,7.788387137565761,7.480602269684779,0
0.5,0.4,9.735127879701947,9.727792770653876,7.78668409696991,7.47472515640768,0
0.5,0.45,9.729035172015127,9.725837705643977,7.784129335604807,7.476767622398226,0
0.5,0.5,9.72315482070733,9.724002248216879,7.7721124926972465,7.476513302493747,1
0.5,0.55,9.715693446593422,9.721326540104421,7.736868912524949,7.456827543142051,0
0.5,0.6000000000000001,9.713614310505703,9.722917864176775,7.797746093273949,7.524096341450994,0
0.5,0.65,9.706820898376193,9.720070475289262,7.763337358929791,7.50133959567615,0
0.5,0.7000000000000001,9.703023517849285,9.719636719095266,7.754129306268748,7.503547190423109,0
0.5,0.75,9.695307741620184,9.715233279305327,7.698148629185519,7.457370329187185,0
0.5,0.8,9.693619055822172,9.717090572626281,7.738080586618244,7.508392491793262,0
0.5,0.8500000000000001,9.69104272809545,9.718250159212944,7.75465477379482,7.539359290003792,0
0.5,0.9,9.68725045203802,9.716590972330716,7.737714230542555,7.5259527654403255,0
0.5,0.9500000000000001,9.682649837299719,9.715051843003769,7.712556689426405,7.510108825071637,0
0.5,1.0,9.68020539534935,9.7144709138775,7.699029793414308,7.502164446327119,0
0.55,0.0,9.748479619556422,9.760951295558707,7.498009346747089,7.285566000852581,0
0.55,0.05,9.757666021168799,9.754420045517561,7.584976835938066,7.340577247301669,0
0.55,0.1,9.762258175974518,9.749515258496311,7.664348948629447,7.393462303239405,0
0.55,0.15000000000000002,9.75831788845305,9.740808979429833,7.653095343385977,7.364351440746204,0
0.55,0.2,9.755511655325858,9.736496286904558,7.679320565458541,7.383964892562576,0
0.55,0.25,9.750413419185193,9.731722257434162,7.695233532698168,7.381855968534588,0
0.55,0.30000000000000004,9.744376282382888,9.727960100026328,7.714985009571628,7.3974945127989225,0
0.55,0.35000000000000003,9.740721651180893,9.72757087765355,7.7685459324986015,7.447126754689063,0
0.55,0.4,9.73382722609135,9.723926504527967,7.756670515307434,7.433755744407092,0
0.55,0.45,9.72901663849982,9.723267621521352,7.789580203230065,7.471204999986748,0
0.55,0.5,9.722858379922721,9.721199196504516,7.77791809709535,7.466816317326142,0
0.55,0.55,9.715462351974958,9.717930720401245,7.752739387364481,7.449562654973399,1
0.55,0.6000000000000001,9.71267344987357,9.719125058257331,7.775589669077068,7.484805940775437,0
0.55,0.65,9.705566126826513,9.716139808130217,7.757995781879753,7.476334889930254,0
0.55,0.7000000000000001,9.700284139203385,9.71441746363608,7.7314354598347315,7.461643511664434,0
0.55,0.75,9.696639258798834,9.714211332948231,7.748890080535688,7.487930558916941,0
0.55,0.8,9.691215700194991,9.712289996458162,7.713674592426912,7.464485872641888,0
0.55,0.8500000000000001,9.688589821558434,9.712489580711575,7.710802954156872,7.471117864725592,0
0.55,0.9,9.684265600009459,9.711073216206339,7.689239858880853,7.459156064832816,0
0.55,0.9500000000000001,9.682743190218154,9.712373918950073,7.7244741477274905,7.500613873493253,0
0.55,1.0,9.67889186522555,9.711011637304441,7.705169339154706,7.488959154110631,0
0.6000000000000001,0.0,9.751045930881027,9.761402649479587,7.540487542232534,7.318396423619458,0
0.6000000000000001,0.05,9.756751560004009,9.75136954894912,7.569322596565192,7.316973534484917,0
0.6000000000000001,0.1,9.758711184745355,9.743834313482626,7.6194018302336985,7.339937325643356,0
0.6000000000000001,0.15000000000000002,9.757397802373708,9.737615867026937,7.643768906196696,7.346004281939473,0
0.6000000000000001,0.2,9.755246469293574,9.733912094571297,7.69123227486592,7.380446955783625,0
0.6000000000000001,0.25,9.751656934109706,9.730993541102297,7.732858868126323,7.414404623110284,0
0.6000000000000001,0.30000000000000004,9.746253279396958,9.727452453847576,7.762709996510523,7.4329778032436495,0
0.6000000000000001,0.35000000000000003,9.742288572239937,9.726068314754897,7.780642393323736,7.447627174647382,0
0.6000000000000001,0.4,9.731960335796654,9.719962147842107,7.736161931652282,7.405507362909259,0
0.6000000000000001,0.45,9.72607446447071,9.718022201920595,7.750038561352587,7.419599793126784,0
0.6000000000000001,0.5,9.72279334096697,9.718735062555009,7.787042433460152,7.463844297664618,0
0.6000000000000001,0.55,9.718514075775218,9.718644901712683,7.813219834355863,7.499433318667395,0
0.6000000000000001,0.6000000000000001,9.709651712342804,9.714069072868242,7.7393837579185645,7.436029168554483,1
0.6000000000000001,0.65,9.706705199312402,9.714574603327042,7.782211762412592,7.483017829463195,0
0.6000000000000001,0.7000000000000001,9.701094071807553,9.713036911653754,7.774207501771558,7.488627138207568,0
0.6000000000000001,0.75,9.697979862479853,9.713277787557244,7.7649017405368195,7.4913497620493645,0
0.6000000000000001,0.8,9.691726762586217,9.710180606622577,7.735991718968737,7.470057746089819,0
0.6000000000000001,0.8500000000000001,9.690111840411515,9.712405925556967,7.764462794017892,7.51407682725854,0
0.6000000000000001,0.9,9.683106301889042,9.707943402661346,7.701852531708004,7.456768906828601,0
0.6000000000000001,0.9500000000000001,9.683103241750391,9.710414958882067,7.755499019955783,7.514354859639838,0
0.6000000000000001,1.0,9.679102017007985,9.70880041856131,7.7230405311564185,7.490080681221382,0
0.65,0.0,9.74754694602888,9.756213270563054,7.503423474410596,7.274591929678862,0
0.65,0.05,9.756439471999775,9.749435250193669,7.566954943547455,7.309240341477274,0
0.65,0.1,9.75764471978944,9.740926380741572,7.6042367869019944,7.318698113470373,0
0.65,0.15000000000000002,9.75843411422217,9.736461595215706,7.674547702518716,7.366184063670329,0
0.65,0.2,9.753306084916344,9.72965953169247,7.6820894921371385,7.359729139409449,0
0.65,0.25,9.751110522178582,9.72814518358814,7.723153189523323,7.395209091851358,0
0.65,0.30000000000000004,9.747182746734934,9.726501970095917,7.778176757991928,7.44417710283903,0
0.65,0.35000000000000003,9.740443358674218,9.722466692768302,7.764258601312276,7.424443713834323,0
0.65,0.4,9.732710056692355,9.718444241724638,7.755017951286856,7.415760685462742,0
0.65,0.45,9.725884109749908,9.715068176752753,7.74370780924005,7.402523126676321,0
0.65,0.5,9.722993868202987,9.716766964331054,7.808511345773356,7.471782456267536,0
0.65,0.55,9.715128758370755,9.713238929820909,7.762537303525458,7.437985201161431,0
0.65,0.6000000000000001,9.710176989230472,9.712211592596779,7.771429115573302,7.453094282830281,0
0.65,0.65,9.705906601950476,9.711432250996648,7.765823541351035,7.455912441106141,1
0.65,0.7000000000000001,9.700725858009289,9.710491826623231,7.764658730207721,7.466737208484491,0
0.65,0.75,9.69431142996881,9.707217701335635,7.721160779597009,7.4318958080630395,0
0.65,0.8,9.693132410934812,9.709319978645476,7.756793914903194,7.475831738027005,0
0.65,0.8500000000000001,9.689636626760157,9.708893613723006,7.751020353959788,7.481302874611124,0
0.65,0.9,9.684338072857772,9.70658463624143,7.727945830747578,7.465902340680846,0
0.65,0.9500000000000001,9.683330517124665,9.708620748935749,7.764618111856612,7.512751054868729,0
0.65,1.0,9.677701435955928,9.705231344058467,7.693597362685779,7.4496784901870425,0
0.7000000000000001,0.0,9.748692131472593,9.755817904982974,7.523543596141454,7.290979833079433,0
0.7000000000000001,0.05,9.754359640506177,9.745710219269869,7.540546365520767,7.2775309783747355,0
0.7000000000000001,0.1,9.75994642107711,9.741236749319409,7.6424506608615435,7.35043188894869,0
0.7000000000000001,0.15000000000000002,9.758657615134132,9.735010188450513,7.680450052195059,7.369277178658905,0
0.7000000000000001,0.2,9.753453959107196,9.728376995139142,7.673750734339031,7.3520045053582095,0
0.7000000000000001,0.25,9.751059005841267,9.726201352852932,7.733021417957893,7.3989854040586085,0
0.7000000000000001,0.30000000000000004,9.745080197046603,9.72189780117278,7.7354943256887765,7.392315423117572,0
0.7000000000000001,0.35000000000000003,9.739327555600612,9.718842781512024,7.753899671246474,7.40429613974147,0
0.7000000000000001,0.4,9.732916036254652,9.716227731956671,7.753290386520882,7.4037543741488685,0
0.7000000000000001,0.45,9.726291647722379,9.71386543235271,7.758947220883971,7.412454557181847,0
0.7000000000000001,0.5,9.721658274964371,9.713228598827243,7.767032600599855,7.427154772802734,0
0.7000000000000001,0.55,9.714275410006358,9.709979015669834,7.760870472701422,7.424544328830379,0
