tariff_AB,tariff_BA,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.0,0.0,9.57990112123382,9.579860041431841,5.375428537453515,5.375262279307779,1
0.0,0.05,9.582945037328281,9.57294682228809,5.34367714016919,5.37115617665206,0
0.0,0.1,9.582772491692042,9.567090989103217,5.307118597223868,5.3553095277677585,0
0.0,0.15000000000000002,9.581002157080844,9.562655378105802,5.305283660532926,5.368162539217511,0
0.0,0.2,9.577425739233504,9.55853993671964,5.269381825866572,5.34368974782168,0
0.0,0.25,9.57384895047142,9.555804552159001,5.246216533320087,5.330594163308575,0
0.0,0.30000000000000004,9.568423695430496,9.552194907264328,5.225513836411912,5.319055924263469,0
0.0,0.35000000000000003,9.563642298063192,9.549696334327102,5.2038041712092,5.3057834745017045,0
0.0,0.4,9.559973948024867,9.548757607171305,5.208340490357876,5.318589785471807,0
0.0,0.45,9.55482019546779,9.546344917958248,5.18850409785014,5.305893890872639,0
0.0,0.5,9.5519971901448,9.54641323676853,5.191327980697939,5.3157459151767075,0
0.05,0.0,9.57264222533317,9.58267046078293,5.367719810706707,5.33999245941329,0
0.05,0.05,9.576839914826172,9.576873758861222,5.35633741439854,5.356451638573513,1
0.05,0.1,9.577169620759292,9.571581935546432,5.324726682357519,5.3544538123345164,0
0.05,0.15000000000000002,9.575989625825127,9.567828329521635,5.312750286335899,5.3661665351279275,0
0.05,0.2,9.572101122487219,9.563510508100022,5.276139732311602,5.3475893064799145,0
0.05,0.25,9.56900125980246,9.561533463770811,5.278183138298363,5.363889517060271,0
0.05,0.30000000000000004,9.564043514864833,9.558384057072066,5.24487641215939,5.341639003553153,0
0.05,0.35000000000000003,9.560114646450694,9.557033077894156,5.243046380987402,5.349764043150891,0
0.05,0.4,9.555199057388279,9.55491418454084,5.221912373088718,5.337033413119061,0
0.05,0.45,9.548954119057147,9.551749128434547,5.182848065378588,5.305113845752896,0
0.05,0.5,9.545567568189663,9.551277119341146,5.187854180051239,5.317481922808587,0
0.1,0.0,9.565928547524376,9.58166256578801,5.333243567212163,5.2854635244322035,0
0.1,0.05,9.572708379851704,9.578346118941456,5.372895536776734,5.3435035489307685,0
0.1,0.1,9.573199307245538,9.573194706323761,5.347444105500482,5.34735273558207,1
0.1,0.15000000000000002,9.571767123429291,9.569267256741444,5.330113262810646,5.359585902189567,0
0.1,0.2,9.56788979210565,9.565134867806082,5.296622850217996,5.351147320945105,0
0.1,0.25,9.56393659728292,9.562201117407199,5.268575761656668,5.343368707234939,0
0.1,0.30000000000000004,9.55869627772986,9.559168545189571,5.244885199122076,5.33582727149104,0
0.1,0.35000000000000003,9.554569258460123,9.557474223942013,5.2327643452484285,5.336779949384491,0
0.1,0.4,9.551694619563486,9.557612657802304,5.251784368231317,5.3672538135466885,0
0.1,0.45,9.545929449580273,9.555037615648285,5.220666861483415,5.344957426697834,0
0.1,0.5,9.542675593204764,9.55487780022426,5.230214890098735,5.363074105912371,0
0.15000000000000002,0.0,9.562418060690518,9.580775751775398,5.348664019551779,5.2859263391856715,0
0.15000000000000002,0.05,9.567287177179894,9.57541011891078,5.348331701807121,5.2948630889611215,0
0.15000000000000002,0.1,9.57008790413852,9.57254991842967,5.372967021622166,5.343565199015994,0
0.15000000000000002,0.15000000000000002,9.568264814967524,9.568255670988798,5.337713708264285,5.337609445659301,1
0.15000000000000002,0.2,9.563213739586686,9.56293882733813,5.287100186267056,5.314914778321301,0
0.15000000000000002,0.25,9.559981485654694,9.560849759277875,5.280164308040157,5.332836637644521,0
0.15000000000000002,0.30000000000000004,9.555072187894813,9.55815221291738,5.253194840249247,5.326736943512824,0
0.15000000000000002,0.35000000000000003,9.550526442910485,9.556318289341446,5.239882025986672,5.330760219230285,0
0.15000000000000002,0.4,9.545087090311423,9.55392506601736,5.21313914821509,5.318116089853517,0
0.15000000000000002,0.45,9.541885845408691,9.553880413859554,5.220950531237036,5.338405410111822,0
0.15000000000000002,0.5,9.53685849307493,9.552110412852617,5.209915415517019,5.337661915431556,0
0.2,0.0,9.559013846489421,9.577916417204266,5.346160438548213,5.271730523731544,0
0.2,0.05,9.565387276717475,9.573930565363568,5.375055498241195,5.303281768250878,0
0.2,0.1,9.56551740748354,9.568293420148137,5.359118308899086,5.304503300525139,0
0.2,0.15000000000000002,9.564708390143977,9.564957232756788,5.350735421553352,5.322385260009252,0
0.2,0.2,9.561194589227242,9.561233280066396,5.312864731604299,5.312910002398563,1
0.2,0.25,9.55682848261546,9.558068701326514,5.289608751799793,5.315583319877476,0
0.2,0.30000000000000004,9.552077000591517,9.555470615251386,5.265279126215188,5.314115803509576,0
0.2,0.35000000000000003,9.547283601224512,9.55347949715401,5.250712840065443,5.3197826861847854,0
0.2,0.4,9.542974886774859,9.552324188949317,5.236915314674779,5.323399802828208,0
0.2,0.45,9.539577996029095,9.552202008935733,5.2501838981344395,5.352083740607072,0
0.2,0.5,9.53527101430198,9.55115022762391,5.2414114852870926,5.355857227088221,0
0.25,0.0,9.55440419664691,9.572435369522946,5.317054817962492,5.232906185608237,0
0.25,0.05,9.561721551486427,9.569238342339144,5.36236911804746,5.276817715463755,0
0.25,0.1,9.561598521110742,9.563233130899347,5.3376920324219554,5.263056483574677,0
0.25,0.15000000000000002,9.561572811774308,9.560709075199355,5.3512609346384945,5.298538858072704,0
0.25,0.2,9.560063962803907,9.55886991672652,5.349938371296254,5.323909309556799,0
0.25,0.25,9.555583354959511,9.555514570874253,5.315213397892174,5.315144119460841,1
0.25,0.30000000000000004,9.550963978908058,9.55310665067553,5.2983769281904936,5.322292946136569,0
0.25,0.35000000000000003,9.545934388414107,9.550998193835694,5.277191071607875,5.322027175766635,0
0.25,0.4,9.539509567383341,9.5477857724731,5.232210005063495,5.295330030184887,0
0.25,0.45,9.539140903787844,9.550485041043471,5.284764397735151,5.365207389751203,0
0.25,0.5,9.531382585603145,9.546151651155718,5.228080441526194,5.322119095516774,0
0.30000000000000004,0.0,9.553236589600507,9.569505980664522,5.330059265124149,5.236287426491417,0
0.30000000000000004,0.05,9.55711280806132,9.562662435323386,5.323411719852437,5.227077854437167,0
0.30000000000000004,0.1,9.560455699602024,9.560073098048173,5.356944609669716,5.2657145710365185,0
0.30000000000000004,0.15000000000000002,9.559624858160854,9.556462185132155,5.3587397664377425,5.285145863395355,0
0.30000000000000004,0.2,9.55631628324011,9.552818732058185,5.325989987969868,5.2766316414484695,0
0.30000000000000004,0.25,9.553515719330324,9.551245200353296,5.324970583098436,5.301008185374756,0
0.30000000000000004,0.30000000000000004,9.548945324592218,9.548939372871915,5.308427667185683,5.308357764686986,1
0.30000000000000004,0.35000000000000003,9.544359451232063,9.547156360523775,5.293171898749957,5.314811603226874,0
0.30000000000000004,0.4,9.539136367449217,9.545230083111448,5.2718943085494665,5.3120413173379495,0
0.30000000000000004,0.45,9.534750887516728,9.544075256208542,5.255753993953162,5.313316022557348,0
0.30000000000000004,0.5,9.528804846068045,9.54148576049952,5.230298993765913,5.302135299733706,0
0.35000000000000003,0.0,9.550437944664829,9.564349175201935,5.317256346628103,5.215023935572107,0
0.35000000000000003,0.05,9.55598376284497,9.559082359054777,5.333248607541607,5.226868853046186,0
0.35000000000000003,0.1,9.559591283973608,9.55662962263882,5.3741934695004785,5.269608129394898,0
0.35000000000000003,0.15000000000000002,9.558470451041774,9.552736168439575,5.364941925027889,5.273558243329009,0
0.35000000000000003,0.2,9.55459006749926,9.548409531880178,5.3332763542073485,5.2642646134322035,0
