extax_AB,extax_BA,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.0,0.0,9.773902398016599,9.779433453914024,7.724124666949308,7.645635813832127,1
0.0,0.05,9.761031377066429,9.790091829160504,7.765017257268885,7.693856888376846,0
0.0,0.1,9.749335036834129,9.795331310095973,7.7772876045875,7.716087767275228,0
0.0,0.15000000000000002,9.738945297403395,9.797002400928825,7.773362089022704,7.735816969857407,0
0.0,0.2,9.73259950842481,9.79890891477009,7.784721182770575,7.780762984465434,0
0.0,0.25,9.72204587422955,9.79417391144657,7.727875624113064,7.762212909933195,0
0.0,0.30000000000000004,9.714650799476633,9.790368696091905,7.677802566384803,7.745333320388348,0
0.0,0.35000000000000003,9.71047437688057,9.788468823279857,7.691922044191652,7.789870517501795,0
0.0,0.4,9.709007720773776,9.78773484390256,7.7126549873330275,7.832540719968233,0
0.0,0.45,9.701403904243286,9.780422039428764,7.6545794262502005,7.793140209031787,0
0.0,0.5,9.696253253890799,9.775181654904099,7.609710741596572,7.764868271155022,0
0.0,0.55,9.6964150897838,9.774772695955814,7.65848387754923,7.828797109417374,0
0.0,0.6000000000000001,9.690954630253376,9.768477165564684,7.6041330676429455,7.784128133458228,0
0.0,0.65,9.692682471963165,9.768987669160547,7.656370346546726,7.84632206892708,0
0.0,0.7000000000000001,9.68688302030192,9.762118351758168,7.585748619370332,7.782386503940108,0
0.0,0.75,9.689606819736335,9.763685474404921,7.653617801198688,7.858099467646983,0
0.0,0.8,9.681387214569463,9.754177880430202,7.53769869916002,7.745016682287829,0
0.0,0.8500000000000001,9.684887052697185,9.756449204291856,7.617852592682442,7.831238998887898,0
0.0,0.9,9.683218775543075,9.753580831414984,7.611785788947934,7.828865341512472,0
0.0,0.9500000000000001,9.680785330397768,9.750073910293557,7.572724938125709,7.7922824168182325,0
0.0,1.0,9.67954372726948,9.747937596904928,7.573737957818398,7.796541133239892,0
0.05,0.0,9.780494252828348,9.772587181318285,7.687405223748908,7.577650615363415,0
0.05,0.05,9.764252603458877,9.78000483657132,7.677434671252377,7.573485064152648,1
0.05,0.1,9.757694763003029,9.790363578838965,7.782062024422768,7.682154870512125,0
0.05,0.15000000000000002,9.74529731056278,9.789880539286965,7.765842934287781,7.672302702484648,0
0.05,0.2,9.738385034446114,9.79123100904515,7.779002699250503,7.7062367610370925,0
0.05,0.25,9.731765860213763,9.790091356061028,7.770932292596021,7.7267916821582485,0
0.05,0.30000000000000004,9.72303593285237,9.784893111440105,7.723720868881523,7.7098314348870876,0
0.05,0.35000000000000003,9.719516785888175,9.783218264678894,7.72348817850407,7.737085943459066,0
0.05,0.4,9.716092537126734,9.780678781894173,7.732909891466467,7.770920319773784,0
0.05,0.45,9.71062558604102,9.775362239777248,7.694731973236012,7.753147921727963,0
0.05,0.5,9.70572235183686,9.769873783344215,7.640373214236587,7.714748454508768,0
0.05,0.55,9.704012438818227,9.767460314836232,7.660184618439666,7.750631427558311,0
0.05,0.6000000000000001,9.703155380545553,9.765670816570287,7.6877330188269015,7.7913849525328285,0
0.05,0.65,9.698063619635018,9.759327467286822,7.618837350957992,7.732119619528947,0
0.05,0.7000000000000001,9.696262280418978,9.756302584213604,7.621314021754033,7.743893773564983,0
0.05,0.75,9.695634463235018,9.75466342280154,7.656562941718918,7.787984533887569,0
0.05,0.8,9.692591254787422,9.75018203721504,7.608950950336974,7.746253199276757,0
0.05,0.8500000000000001,9.690225650400446,9.7467307361718,7.603539033500428,7.747012547469941,0
0.05,0.9,9.690422879372276,9.745497599913023,7.604353938756516,7.751965160223362,0
0.05,0.9500000000000001,9.688180092812114,9.741588972912979,7.579228082325274,7.7299034758615,0
0.05,1.0,9.690247592448696,9.742854002907944,7.6326440981349215,7.78923980917878,0
0.1,0.0,9.78297858657218,9.76568095332061,7.653365043154864,7.514867988706932,0
0.1,0.05,9.772770500614213,9.779210583259053,7.737334487351245,7.605622977762485,0
0.1,0.1,9.758747499718718,9.782291090953345,7.7301791602564345,7.600072785333929,1
0.1,0.15000000000000002,9.74936582948389,9.784816778137152,7.7393875325557175,7.611713093411511,0
0.1,0.2,9.742356769374956,9.78608109411704,7.772071849486991,7.652874826352722,0
0.1,0.25,9.735488680905911,9.784496661299185,7.781827664045952,7.679673181402092,0
0.1,0.30000000000000004,9.727891490455725,9.780119682480292,7.747819807865991,7.667914038015736,0
0.1,0.35000000000000003,9.725665220767393,9.779951227516104,7.776985648200554,7.72242069049453,0
0.1,0.4,9.717178662347788,9.772156307761474,7.698324695088121,7.6659931517631135,0
0.1,0.45,9.716895754262834,9.771652271981967,7.754368763439203,7.7402882466119,0
0.1,0.5,9.71095561303434,9.765568715462033,7.696842545620828,7.701975517871171,0
0.1,0.55,9.707961139776748,9.761407052735612,7.6797124129603205,7.698314107964872,0
0.1,0.6000000000000001,9.707658369004749,9.760092034801872,7.7090078881099195,7.741560412959806,0
0.1,0.65,9.702211431639572,9.75345035379805,7.651385533813112,7.693544447242267,0
0.1,0.7000000000000001,9.702899271968061,9.75246042650108,7.673657013405146,7.725066258828079,0
0.1,0.75,9.699194931448416,9.747341394034676,7.6560718647939305,7.7147576404705,0
0.1,0.8,9.69896524973126,9.745944828379265,7.664434090528789,7.731351337314586,0
0.1,0.8500000000000001,9.697283824470157,9.742966879155667,7.662902339886756,7.736684506518173,0
0.1,0.9,9.695509885686937,9.73980527704133,7.631928690415045,7.70983393824818,0
0.1,0.9500000000000001,9.695251658935062,9.738093506345312,7.641508948843181,7.723383316018082,0
0.1,1.0,9.690111098117947,9.731963249589128,7.578438954909574,7.66353362596278,0
0.15000000000000002,0.0,9.785573346396655,9.76178000631351,7.65165827016734,7.489261635400141,0
