tariff_AB,tariff_BA,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.0,0.0,9.881068086054295,9.881065706687995,8.651760834724206,8.651544505398144,1
0.0,0.05,9.885699204452445,9.873659467623837,8.603329160593088,8.646563747963487,0
0.0,0.1,9.887922718137489,9.86872106044303,8.583639563369644,8.660370768152331,0
0.0,0.15000000000000002,9.885866585577938,9.862666967925128,8.518362024484311,8.616073744716527,0
0.0,0.2,9.885417779213524,9.860995350942037,8.503603064000378,8.620715988876137,0
0.0,0.25,9.883781413413649,9.859456955600487,8.505112067221305,8.637220986601159,0
0.0,0.30000000000000004,9.878313079972548,9.854991570670004,8.444474336068676,8.589455039457517,0
0.0,0.35000000000000003,9.874205852892741,9.852933863152282,8.43064673241975,8.592364525869968,0
0.0,0.4,9.868993328511992,9.850179934529638,8.389270108616756,8.563375632577797,0
0.0,0.45,9.864183984323176,9.84800139010723,8.3662998122228,8.552349515000275,0
0.0,0.5,9.860553180099702,9.84679257304312,8.345710763126853,8.540855719503673,0
0.0,0.55,9.854996155971433,9.843965316835552,8.297914653695244,8.503279546766835,0
0.0,0.6000000000000001,9.85231046694947,9.844210732126353,8.315569357917411,8.533951321257492,0
0.0,0.65,9.851672708298771,9.845727030668801,8.335735282839243,8.556992149948824,0
0.0,0.7000000000000001,9.846797366834965,9.843350726068094,8.293526289873041,8.526158939079657,0
0.0,0.75,9.844439275495196,9.843061735635866,8.298008727843127,8.536580309584652,0
0.0,0.8,9.841864989941586,9.84255627767495,8.28820606249955,8.532242595988642,0
0.0,0.8500000000000001,9.837872746733106,9.840502265590048,8.2559624426934,8.50375721885759,0
0.0,0.9,9.837118522654404,9.841513580329945,8.273167987819031,8.526472102327004,0
0.0,0.9500000000000001,9.835291578223915,9.841546670822277,8.266380848281036,8.525360912321569,0
0.0,1.0,9.82965982697156,9.83748375749709,8.212901390285332,8.476751880391147,0
0.05,0.0,9.87391125871636,9.885889968769076,8.645428255064735,8.602617854174936,0
0.05,0.05,9.879369397420392,9.879486538187166,8.628583855218212,8.629589642642701,1
