extax_AB,extax_BA,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.0,0.0,9.57990112123382,9.579860041431841,5.375428537453515,5.375262279307779,1
0.0,0.05,9.569120569992034,9.586771289624341,5.3350757247284815,5.374173371140722,0
0.0,0.1,9.559787029104896,9.590076451690365,5.292497079062091,5.3638068626539175,0
0.0,0.15000000000000002,9.55225148920877,9.591406045977873,5.286821871950825,5.382175976455984,0
0.0,0.2,9.545282055439321,9.590683620513824,5.248780531804163,5.361515492144807,0
0.0,0.25,9.540006813244302,9.589646689386122,5.2245406327290596,5.350597305044897,0
0.0,0.30000000000000004,9.534105957011487,9.58651264568334,5.203533506477308,5.340005709756881,0
0.0,0.35000000000000003,9.529653812297646,9.583684820092646,5.182053545979646,5.326900369059258,0
0.0,0.4,9.526838459745639,9.581893095450532,5.1870682681050155,5.339435088160554,0
0.0,0.45,9.52292514092153,9.578239972504507,5.168040972193426,5.326069774508463,0
0.0,0.5,9.521504831387455,9.576905595525878,5.171727923454435,5.335160717807493,0
0.0,0.55,9.517793872398027,9.572804341477909,5.146796893560998,5.313899410317884,0
0.0,0.6000000000000001,9.515527203706638,9.57009147332205,5.140831347553138,5.311534360048638,0
0.0,0.65,9.513267441192196,9.567182293313138,5.123937384891814,5.2973246047859215,0
0.0,0.7000000000000001,9.512115930493472,9.565240967878529,5.12750392789682,5.303807170819141,0
0.0,0.75,9.509904482501076,9.56223676769715,5.107182289681832,5.2851885613384395,0
0.0,0.8,9.509387767370828,9.561106284172165,5.122382652481192,5.303017649229621,0
0.0,0.8500000000000001,9.507741631794667,9.55853570599628,5.103973534255016,5.2857517768850935,0
0.0,0.9,9.507572202473265,9.55766526060568,5.112835562700247,5.296523101880686,0
0.0,0.9500000000000001,9.505959506849866,9.555354805033375,5.097958715872034,5.282462228566279,0
0.0,1.0,9.504287449234223,9.55303881663351,5.081923268935233,5.267024999249801,0
0.05,0.0,9.586183721160625,9.568545657581165,5.3623911429578826,5.323397378836856,0
0.05,0.05,9.575499870261082,9.575549845557436,5.316289061414988,5.316578490818889,1
0.05,0.1,9.568835569732371,9.5814386424624,5.322184380102659,5.3618065632728475,0
0.05,0.15000000000000002,9.561914120847527,9.583295211107572,5.302050071944027,5.374819076591758,0
0.05,0.2,9.555039885619557,9.582477175129288,5.273041557920463,5.372263504758323,0
0.05,0.25,9.54860992884851,9.580169111069981,5.239315439463219,5.358542286197259,0
0.05,0.30000000000000004,9.543607426264128,9.577586909972386,5.210044032950785,5.344481255427065,0
0.05,0.35000000000000003,9.538974435979659,9.574657369425099,5.192871730058773,5.3390130772303594,0
0.05,0.4,9.53586293211426,9.572024178339412,5.182585365174551,5.337862759823008,0
0.05,0.45,9.534502528107314,9.570900507021653,5.201713760499965,5.365032250935922,0
0.05,0.5,9.530480494553203,9.566822966999464,5.173620773426555,5.342187537815662,0
0.05,0.55,9.529229401748843,9.565051043019945,5.184588529841803,5.35860354349544,0
0.05,0.6000000000000001,9.525453412324088,9.560710549898436,5.1492912284900605,5.326240495047715,0
0.05,0.65,9.523761115962134,9.55809822834917,5.1364629572181695,5.316396528327295,0
0.05,0.7000000000000001,9.523400415847153,9.557032435631642,5.15921794440595,5.342994625971384,0
0.05,0.75,9.521735661227998,9.554486459056177,5.143215409177775,5.328949910796593,0
0.05,0.8,9.517875592780483,9.549812142086155,5.102507335629141,5.288882157331371,0
0.05,0.8500000000000001,9.517976620785888,9.548921119795157,5.116396438015247,5.305187246854973,0
0.05,0.9,9.516102068864779,9.546410435486816,5.101071530760841,5.2908978260306965,0
0.05,0.9500000000000001,9.515065677245136,9.544450948724526,5.092034089076247,5.28287020376946,0
0.05,1.0,9.51383348036616,9.542477042893319,5.083717633710957,5.275468739727136,0
0.1,0.0,9.589629141367782,9.559351531959146,5.355627125722717,5.284532160570985,0
